"Restaurant.Name","City","Average.Cost.for.two","Has.Table.booking","Has.Online.delivery","Is.delivering.now","Votes","Aggregate.rating","Rating.text","Cuisine.code"
"CJ's Fresh","New Delhi",1000,0,1,0,25,3.8,"Good",1
"Elma's Brasserie","New Delhi",2000,1,1,0,393,3.7,"Good",1
"Kunafa","New Delhi",300,0,1,0,200,3.9,"Good",19
"Lahori Gate","New Delhi",1800,1,1,0,148,3.5,"Good",48
"M I Food Center","New Delhi",600,0,0,0,202,3.8,"Good",52
"Sugar Blossoms","New Delhi",300,0,0,0,58,3.6,"Good",19
"Cafe Coffee Day","New Delhi",450,0,0,0,52,2.3,"Poor",15
"Guppy","New Delhi",2900,1,0,0,665,4.1,"Very Good",33
"Ping's Cafí© Orient","New Delhi",2100,1,0,0,278,4.1,"Very Good",4
"The All American Diner","New Delhi",1000,0,0,0,3495,4.1,"Very Good",1
"Armaan's Restaurant","New Delhi",500,0,0,0,8,2.8,"Average",52
"Garden Chef","New Delhi",450,0,0,0,63,3,"Average",17
"Golooji's Chat Waat","New Delhi",400,0,0,0,13,3.3,"Average",66
"Oriental Lee","New Delhi",500,0,0,0,19,2.7,"Average",17
"Peshawari Restaurant","New Delhi",700,0,0,0,55,3.1,"Average",52
"Tikka Town","New Delhi",550,0,0,0,53,3.1,"Average",52
"Titu Restaurant","New Delhi",300,0,0,0,13,2.9,"Average",52
"Vijay Dhaba","New Delhi",150,0,0,0,7,2.9,"Average",52
"Wild Willy","New Delhi",500,0,0,0,19,3.2,"Average",56
"Diva Spiced","New Delhi",2000,1,0,0,131,3.7,"Good",4
"Granma's Homemade","New Delhi",200,0,0,0,25,3.6,"Good",7
"Karim's","New Delhi",1000,1,0,0,194,3.8,"Good",52
"Sab Ki Khatir","New Delhi",450,0,0,0,162,3.7,"Good",48
"Lodi - The Garden Restaurant","New Delhi",2600,1,1,0,2549,4.2,"Very Good",21
"Aggarwal Sweets & Restaurant","New Delhi",400,0,0,0,11,2.7,"Average",52
"Ashirwad Dhaba","New Delhi",200,0,0,0,5,2.9,"Average",52
"Barichi Restaurant","New Delhi",1000,1,0,0,7,2.9,"Average",52
"Bikaner Sweets","New Delhi",200,0,0,0,14,2.7,"Average",46
"Bikaner","New Delhi",600,0,0,0,6,2.9,"Average",46
"Chatori Zubaan 2","New Delhi",550,0,0,0,5,3,"Average",52
"Chinese Mania","New Delhi",300,0,0,0,17,3.2,"Average",17
"Da Pizza Corner","New Delhi",600,0,1,0,6,2.5,"Average",22
"Dhaba Cash 'N' Carry Kitchen","New Delhi",600,0,0,0,16,3.1,"Average",52
"Dom Dang Kins Restaurant","New Delhi",400,0,0,0,12,3.1,"Average",17
"First Choice","New Delhi",600,0,0,0,11,2.9,"Average",52
"Hungry Hut","New Delhi",700,0,0,0,6,3.1,"Average",52
"Le Seasons Restaurant","New Delhi",950,1,0,0,17,2.8,"Average",52
"Moti Mahal Delux","New Delhi",800,1,0,0,22,3,"Average",52
"Popsy's","New Delhi",550,0,0,0,5,3,"Average",52
"Prabhu","New Delhi",500,0,0,0,8,3.1,"Average",22
"Saptagiri","New Delhi",900,1,0,0,10,2.8,"Average",52
"Spice Hut","New Delhi",500,0,0,0,15,2.9,"Average",52
"Taste of Vishal","New Delhi",900,1,0,0,6,2.9,"Average",52
"The Tandoori Night","New Delhi",300,0,0,0,5,2.8,"Average",11
"Traffic Jaam","New Delhi",550,0,0,0,5,2.9,"Average",52
"Tripti","New Delhi",1000,1,0,0,16,3.1,"Average",52
"Uttaranchal Dhaba & Restaurant","New Delhi",200,0,0,0,5,2.9,"Average",52
"Wah Ji Wah","New Delhi",450,0,0,0,6,2.9,"Average",52
"Resto 37","New Delhi",700,0,0,0,23,3.9,"Good",52
"The Cavalry Bar - Maidens Hotel","New Delhi",2000,1,0,0,17,2.7,"Average",23
"The Curzon Room - Maidens Hotel","New Delhi",3200,1,0,0,39,3.4,"Average",21
"The Garden Terrace - Maidens Hotel","New Delhi",3000,1,0,0,57,3.3,"Average",52
"Ama Rabsel House","New Delhi",500,0,0,0,8,3,"Average",17
"Cafe Plus","New Delhi",500,0,0,0,13,3.2,"Average",15
"Hornbill","New Delhi",450,0,0,0,7,3.1,"Average",49
"Orange Cafe & Restaurant","New Delhi",450,0,0,0,8,3.1,"Average",71
"33 Food","New Delhi",700,0,1,0,93,3.2,"Average",52
"Burger Point","New Delhi",400,0,0,0,78,3.3,"Average",13
"Cafe Blur","New Delhi",450,0,0,0,7,3.1,"Average",15
"Cafe Coffee Day","New Delhi",450,0,0,0,52,2.5,"Average",15
"Cafe Rendezvous","New Delhi",1550,1,1,0,191,3.3,"Average",44
"Cakes & Bakes","New Delhi",500,0,0,0,75,3.4,"Average",7
"Chatorey Chacha","New Delhi",350,0,0,0,51,3.3,"Average",66
"Chilli Dragon","New Delhi",650,0,1,0,35,3.3,"Average",17
"DCK- Dana Choga's Kitchen","New Delhi",800,0,1,0,297,3.4,"Average",52
"Divya's Rimpy Restaurant","New Delhi",800,0,0,0,245,3.2,"Average",52
"Express Dhaba","New Delhi",650,0,1,0,68,2.7,"Average",52
"Go Foodie","New Delhi",500,0,0,0,105,3.3,"Average",52
"Health Pan","New Delhi",200,0,1,0,45,3.4,"Average",28
"Karim's","New Delhi",800,1,1,0,183,3,"Average",48
"Karuna","New Delhi",200,0,0,0,15,3,"Average",63
"Kathi","New Delhi",400,0,1,0,75,2.8,"Average",52
"King Chilly Kitchen","New Delhi",400,0,1,0,17,3.2,"Average",17
"Kolhapuri Veg Non-Veg Foods","New Delhi",300,0,1,0,20,3.3,"Average",40
"Mehfil Dhaba","New Delhi",300,0,0,0,214,3.4,"Average",22
"Moti Mahal Delux - Legendary Culinary","New Delhi",600,0,1,0,146,2.6,"Average",52
"Open Oven","New Delhi",250,0,1,0,103,3.4,"Average",7
"Paapi Paet","New Delhi",550,0,1,0,250,3.3,"Average",22
"Pepper Corn Express","New Delhi",800,0,1,0,50,3.4,"Average",52
"Pinch Of China","New Delhi",400,0,0,0,14,3.2,"Average",17
"Pizza Hut Delivery","New Delhi",800,0,1,0,120,2.8,"Average",32
"Punjabee's Darbar","New Delhi",700,0,1,0,34,3,"Average",52
"Ramjee's","New Delhi",150,0,1,0,62,3.3,"Average",66
"Rollmaal","New Delhi",500,0,1,0,218,3.4,"Average",22
"Shaolin","New Delhi",800,0,1,0,217,3.4,"Average",17
"Subway","New Delhi",500,0,1,0,183,2.8,"Average",1
"The Chocolate Room","New Delhi",850,1,1,0,155,3.4,"Average",15
"The Delhi Heights","New Delhi",800,1,1,0,198,2.8,"Average",52
"Thok (The House of Kakori)","New Delhi",600,0,1,1,485,3.4,"Average",52
"Uloo","New Delhi",600,0,1,1,134,3.2,"Average",52
"Vadapav Junction & More","New Delhi",350,0,1,0,37,3.3,"Average",66
"Behrouz Biryani","New Delhi",600,0,1,0,61,3.6,"Good",11
"Beliram Degchiwala","New Delhi",900,0,1,0,226,3.5,"Good",52
"Bhukkhar","New Delhi",500,0,1,0,100,3.9,"Good",52
"Biryani Blues","New Delhi",1000,0,1,0,113,3.9,"Good",11
"Bun Intended","New Delhi",850,0,1,0,50,3.9,"Good",13
"Casa Asia","New Delhi",650,0,1,0,306,3.8,"Good",17
"Chic Fish","New Delhi",750,0,1,0,361,3.5,"Good",52
"Dunkin' Donuts","New Delhi",600,0,1,0,290,3.6,"Good",13
"Farratta","New Delhi",800,0,1,0,93,3.7,"Good",52
"Flavors of Chennai","New Delhi",400,0,1,0,370,3.7,"Good",63
"Food For Thought","New Delhi",700,0,1,0,55,3.8,"Good",52
"FreshMenu","New Delhi",600,0,1,0,132,3.7,"Good",32
"Giani's","New Delhi",400,0,1,0,145,3.7,"Good",30
"Gopala","New Delhi",250,0,0,0,45,3.8,"Good",46
"Green Chick Chop","New Delhi",350,0,0,0,52,3.5,"Good",59
"Hunger Must Die","New Delhi",500,0,1,0,99,3.7,"Good",32
"Kolkata Kathi Roll","New Delhi",150,0,0,0,82,3.6,"Good",22
"Max Grille and Kitchen","New Delhi",850,1,1,0,99,3.5,"Good",52
"Moti Sweets","New Delhi",100,0,0,0,114,3.6,"Good",46
"Nazeer Foods","New Delhi",650,0,0,0,427,3.6,"Good",52
"Nikashee","New Delhi",600,0,0,0,408,3.7,"Good",17
"Noodle Box","New Delhi",700,0,1,0,60,3.5,"Good",17
"Pema's","New Delhi",700,0,1,0,412,3.6,"Good",17
"Plumber - The Lounge","New Delhi",1500,0,0,0,38,3.9,"Good",70
"Pudding & Pie","New Delhi",450,0,0,0,137,3.7,"Good",7
"RP's Restaurant","New Delhi",700,0,1,0,259,3.5,"Good",48
"Soi Thai","New Delhi",1500,0,1,0,148,3.6,"Good",70
"Speedy Chow","New Delhi",850,0,1,0,268,3.6,"Good",17
"Stoned Age Kitchen","New Delhi",400,0,1,0,91,3.9,"Good",18
"Suribachi","New Delhi",1500,1,1,0,104,3.5,"Good",4
"Swagath","New Delhi",1500,1,0,0,168,3.5,"Good",52
"The Delhi Canteen","New Delhi",1000,1,1,0,305,3.6,"Good",52
"The Grill Kitchen","New Delhi",650,0,1,0,75,3.8,"Good",52
"The Midnight Heroes","New Delhi",950,0,1,0,41,3.7,"Good",52
"The Salad Bowl","New Delhi",800,0,1,0,34,3.5,"Good",28
"Domino's Pizza","New Delhi",700,0,0,0,185,2.3,"Poor",56
"Food Army","New Delhi",450,0,1,0,18,2.3,"Poor",52
"Moti Restaurant","New Delhi",550,0,1,0,137,2.4,"Poor",52
"New Baba Da Dhaba","New Delhi",400,0,1,0,84,2,"Poor",52
"Tunday Kababi","New Delhi",600,0,1,0,182,2.2,"Poor",39
"Dilli BC","New Delhi",700,0,1,0,84,4.4,"Very Good",52
"Litti.In","New Delhi",300,0,1,0,308,4,"Very Good",10
"Nizam's Kathi Kabab","New Delhi",900,1,1,0,153,4,"Very Good",52
"Pepper Kitchen","New Delhi",500,0,1,0,244,4,"Very Good",15
"Rustom's Cafe & Bakery","New Delhi",700,0,1,0,84,4.1,"Very Good",15
"Salad Days","New Delhi",800,0,1,0,255,4,"Very Good",28
"Stop My Starvation","New Delhi",300,0,1,0,126,4.3,"Very Good",15
"Sushi Junction","New Delhi",1000,0,1,0,53,4,"Very Good",67
"Vero Gusto","New Delhi",250,0,1,0,135,4.1,"Very Good",15
"Snack Junction","New Delhi",300,0,0,0,10,3.2,"Average",17
"Turant","New Delhi",300,0,0,0,47,3.3,"Average",17
"Aromas of Pind","New Delhi",1200,1,1,0,278,4.2,"Very Good",52
"Apna Dhaba and Caters","New Delhi",300,0,0,0,20,3.2,"Average",52
"Green Chick Chop","New Delhi",350,0,1,0,7,2.7,"Average",59
"Jai Shree Durga South Indian Corner","New Delhi",350,0,0,0,6,3,"Average",63
"Malabar Catering House","New Delhi",400,0,0,0,13,3.2,"Average",11
"Meenakshi Bhawan","New Delhi",300,0,0,0,14,3.1,"Average",63
"New Raja Sweets","New Delhi",150,0,0,0,18,2.9,"Average",46
"Pizza Treat","New Delhi",250,0,0,0,6,3,"Average",56
"Pudding & Pie","New Delhi",450,0,0,0,7,3.1,"Average",7
"Rita Chinese Food","New Delhi",350,0,0,0,10,3.1,"Average",17
"Vibes of Punjab","New Delhi",700,0,0,0,21,3.2,"Average",52
"Ramji Di Hatti & Caterers","New Delhi",350,0,0,0,25,3.5,"Good",52
"Spicy Tadka","New Delhi",600,0,1,0,24,3.5,"Good",52
"9 is Mine","New Delhi",300,0,1,0,4,2.6,"Average",22
"Aashirwad","New Delhi",450,0,0,0,19,3.2,"Average",17
"Aggarwal Sweet & Bakers","New Delhi",150,0,0,0,5,2.9,"Average",46
"Amit Hotel","New Delhi",150,0,0,0,7,2.9,"Average",52
"Angrezee Dhaba","New Delhi",350,0,1,0,7,2.8,"Average",52
"Ankur Family Restaurant","New Delhi",300,0,0,0,4,2.9,"Average",52
"Bansal Sweet","New Delhi",150,0,0,0,20,2.7,"Average",19
"Baskin Robbins","New Delhi",300,0,1,0,13,3.1,"Average",30
"Caravan Resto Bar","New Delhi",1100,1,1,0,51,3.2,"Average",52
"Celebration Multi Cuisine Restaurant","New Delhi",500,0,0,0,14,2.7,"Average",52
"Chatto Chapati","New Delhi",250,0,0,0,8,3,"Average",52
"Chawla'sŒ_","New Delhi",750,1,0,0,29,2.7,"Average",52
"China Town","New Delhi",300,0,1,0,11,2.7,"Average",17
"China Town","New Delhi",350,0,0,0,28,2.7,"Average",17
"Dazzle Pastry Shop","New Delhi",150,0,0,0,25,2.6,"Average",7
"Delicacy Foods","New Delhi",650,0,0,0,86,3.2,"Average",52
"Dolphin Rolls","New Delhi",200,0,0,0,6,2.9,"Average",22
"Durbar Restaurant","New Delhi",500,0,0,0,33,2.7,"Average",52
"Ever Green Pastry Shop","New Delhi",200,0,0,0,34,3.1,"Average",7
"Evergreen Sweets Corner","New Delhi",100,0,0,0,8,3,"Average",46
"Great Plates By AJ","New Delhi",900,1,1,0,77,3.1,"Average",52
"Green Chick Chop","New Delhi",350,0,0,0,24,3.2,"Average",59
"Haqeem's","New Delhi",250,0,0,0,14,2.7,"Average",52
"Himalaya Food Corner","New Delhi",500,0,0,0,46,2.7,"Average",52
"Hot Joint Fast Food","New Delhi",350,0,0,0,61,2.6,"Average",17
"Hyderabadi Dum Biryani","New Delhi",650,0,1,0,60,2.7,"Average",11
"Kasturi Family Restaurant","New Delhi",400,0,1,0,20,3,"Average",52
"Kerala Cafe","New Delhi",300,0,0,0,45,3.3,"Average",36
"Keuchen Paradise","New Delhi",300,0,1,0,8,2.8,"Average",7
"Kook For Health","New Delhi",500,0,1,0,21,3.3,"Average",1
"Lahorian's Sweets & Bakers","New Delhi",250,0,0,0,5,2.9,"Average",66
"Mr. Baker's","New Delhi",100,0,0,0,22,3,"Average",7
"Night Food Delivery","New Delhi",500,0,1,0,5,2.7,"Average",52
"Nine 2 Nine Snacks & Restaurant","New Delhi",250,0,0,0,5,2.9,"Average",52
"Punjabi Mirch","New Delhi",400,0,0,0,4,3,"Average",52
"Rasoi The Food Express","New Delhi",600,0,1,0,53,2.6,"Average",52
"Republic of Chicken","New Delhi",400,0,0,0,11,2.8,"Average",59
"Sandwichai","New Delhi",350,0,1,0,58,3.3,"Average",22
"SB's Raisins","New Delhi",350,0,1,0,15,2.8,"Average",7
"Shanghai Kitchen","New Delhi",300,0,0,0,26,3.1,"Average",17
"Shiv Shakti Restaurant","New Delhi",200,0,0,0,18,3,"Average",63
"Smoky Chettinad","New Delhi",600,0,0,0,49,2.8,"Average",63
"Spice Fusion","New Delhi",400,0,0,0,7,3.1,"Average",52
"Sweet Toof Designer Cakes","New Delhi",250,0,0,0,7,3.1,"Average",7
"The Chef","New Delhi",600,0,1,0,23,3.2,"Average",52
"The Edge Cafe","New Delhi",400,0,1,0,53,3.1,"Average",22
"The Epicure - Fraser Suites","New Delhi",2000,1,0,0,80,3.1,"Average",4
"Udupidarshini Veg Restaurant","New Delhi",550,0,1,0,33,3.4,"Average",17
"36 lebzelter","New Delhi",150,0,0,0,39,3.7,"Good",7
"Baked Buns","New Delhi",500,0,1,0,165,3.6,"Good",22
"Freakin Beans","New Delhi",250,0,0,0,72,3.7,"Good",15
"Nutri Cafe","New Delhi",500,0,1,0,49,3.7,"Good",22
"Senorita's","New Delhi",550,0,0,0,57,3.7,"Good",44
"Village - The House of Food","New Delhi",300,0,1,0,65,3.7,"Good",66
"Cafe Coffee Day","New Delhi",450,0,0,0,49,2.4,"Poor",15
"Food Fantasy","New Delhi",500,0,1,0,76,2.4,"Poor",52
"Just Chinese","New Delhi",300,0,1,0,36,2.4,"Poor",17
"Agarwal Bikaneri Sweets","New Delhi",100,0,0,0,12,3.1,"Average",46
"Bikaner Sweets","New Delhi",100,0,0,0,14,2.8,"Average",46
"Breadz","New Delhi",300,0,1,0,48,3.3,"Average",7
"Desi Jugaad","New Delhi",350,0,0,0,12,3.2,"Average",52
"Food Trax","New Delhi",300,0,0,0,4,2.9,"Average",17
"Hub Tub","New Delhi",300,0,0,0,7,3,"Average",17
"Malabar Foods","New Delhi",500,0,1,0,49,2.7,"Average",52
"Mitra Di Chaap","New Delhi",300,0,0,0,5,3,"Average",66
"New Hyderabadi Biryani House","New Delhi",500,0,1,0,25,2.5,"Average",52
"New Madras Cafe","New Delhi",250,0,0,0,11,2.8,"Average",63
"Roll Club","New Delhi",250,0,0,0,44,3.2,"Average",22
"Sanju Cool & Hot Hut","New Delhi",250,0,0,0,8,2.8,"Average",52
"Sethi's Kabab & Curries","New Delhi",500,0,0,0,22,3.1,"Average",52
"South Indian Fast Food","New Delhi",300,0,0,0,23,3.3,"Average",63
"Sweets and Spices","New Delhi",400,0,0,0,69,2.8,"Average",52
"Urban Degchi Kitchen & Bar","New Delhi",1000,1,1,0,94,2.6,"Average",52
"Wah Ji Wah","New Delhi",400,0,1,0,81,3.1,"Average",52
"Zaiqa Kathi Roll & Momos","New Delhi",150,0,0,0,16,3.3,"Average",66
"Duggal Snacks","New Delhi",50,0,0,0,32,3.6,"Good",66
"Granny's Flavour","New Delhi",150,0,0,0,16,3.5,"Good",66
"Moustache Coffee","New Delhi",400,0,1,0,79,3.7,"Good",15
"Pradeep Pav Bhaji","New Delhi",200,0,0,0,94,3.8,"Good",66
"Sandwich Factory","New Delhi",500,0,1,0,254,3.9,"Good",15
"Scorpio Cafe","New Delhi",400,0,1,0,410,3.7,"Good",17
"Veggie-Licious","New Delhi",450,0,1,0,100,3.6,"Good",52
"Slice Of Italy","New Delhi",700,0,1,0,119,2.2,"Poor",32
"Anokha Chinese Hut","New Delhi",700,0,0,0,27,2.6,"Average",52
"Bobby Dhaba & Caterers","New Delhi",450,0,0,0,5,3.1,"Average",52
"Clever Fox Cafe","New Delhi",900,1,0,0,25,3,"Average",52
"Dana Pani","New Delhi",300,0,0,0,4,2.8,"Average",52
"Hotel Malabar","New Delhi",300,0,0,0,24,3,"Average",36
"Lumbini Fast Point","New Delhi",400,0,0,0,30,3,"Average",17
"Mayur Restaurant","New Delhi",400,0,0,0,19,2.8,"Average",52
"MOC - The American Restaurant","New Delhi",400,0,0,0,35,2.6,"Average",1
"Muradabadi Chicken Biryani","New Delhi",450,0,0,0,28,3.3,"Average",52
"New Aggarwal Sweet Corner","New Delhi",100,0,0,0,11,2.7,"Average",46
"Pizza Castle","New Delhi",500,0,1,0,29,2.7,"Average",56
"Punjabi Dhaba","New Delhi",200,0,0,0,6,3,"Average",52
"Qureshi Chicken Corner","New Delhi",200,0,0,0,6,3,"Average",52
"Samarpan Fast Food","New Delhi",300,0,0,0,9,2.9,"Average",17
"Shaan-E-Tandoorz","New Delhi",400,0,0,0,5,2.9,"Average",52
"Sonu Sudh Bhojnalaya","New Delhi",250,0,0,0,10,2.8,"Average",52
"The Test","New Delhi",500,0,0,0,4,2.9,"Average",52
"True Blue","New Delhi",900,1,0,0,26,3.3,"Average",17
"Zaika Kathi Rolls","New Delhi",150,0,0,0,13,3,"Average",22
"Baked Buns","New Delhi",500,0,1,0,90,3.5,"Good",22
"Green Chick Chop","New Delhi",350,0,0,0,7,3,"Average",59
"Mahara Hotel","New Delhi",400,0,0,0,4,2.9,"Average",52
"Malik Vegetarian Rasoi","New Delhi",250,0,0,0,9,2.9,"Average",52
"Yash Aadi Food Corner","New Delhi",400,0,0,0,6,2.9,"Average",52
"McDonald's","New Delhi",500,0,0,0,91,3.4,"Average",22
"Moti Mahal Delux Tandoori Trail","New Delhi",1000,1,1,0,151,3.2,"Average",52
"Pizza Hut","New Delhi",1000,0,0,0,83,2.8,"Average",32
"Dill's Chawla Chik-Inn","New Delhi",700,0,0,0,4,2.9,"Average",52
"Tandoori Zaaika","New Delhi",500,0,0,0,4,3,"Average",52
"Buzz","New Delhi",2000,0,1,0,220,3.4,"Average",52
"Lighthouse 13","New Delhi",2100,1,0,0,570,3.4,"Average",52
"Berco's","New Delhi",1100,0,1,0,565,3.8,"Good",17
"The Great Kabab Factory","New Delhi",2200,1,1,0,498,3.5,"Good",52
"The Tea Place by Manjushree","New Delhi",700,0,0,0,92,4.1,"Very Good",15
"Victoria","New Delhi",1200,1,0,0,20,3.2,"Average",52
"Munch Nation","New Delhi",350,0,1,1,727,3.8,"Good",17
"34, Chowringhee Lane","New Delhi",250,0,0,0,62,3.2,"Average",22
"Any Time Food","New Delhi",400,0,1,0,52,2.6,"Average",22
"Bikaner Sweet House","New Delhi",200,0,0,0,16,3.2,"Average",46
"Domino's Pizza","New Delhi",700,0,0,0,94,2.8,"Average",56
"Giani","New Delhi",400,0,1,0,39,2.9,"Average",30
"Grand Plaza","New Delhi",800,0,1,0,255,3.3,"Average",52
"Great Wall","New Delhi",1200,0,0,0,47,2.7,"Average",52
"Healthy Food Station","New Delhi",400,0,1,0,25,3.1,"Average",60
"Hostess Tasty Bites","New Delhi",500,0,0,0,16,3.1,"Average",17
"Hot Pot","New Delhi",500,0,0,0,105,3.1,"Average",17
"Kabab Factory","New Delhi",700,0,0,0,12,3,"Average",52
"Keventers","New Delhi",400,0,0,0,17,3.1,"Average",9
"Krishna Sweet House","New Delhi",200,0,0,0,32,3.3,"Average",46
"Mitraz","New Delhi",850,1,1,0,101,3.4,"Average",52
"Nut Khut Chaats & Snacks","New Delhi",300,0,0,0,8,3.2,"Average",22
"Subway","New Delhi",500,0,1,0,68,3.4,"Average",1
"The Host","New Delhi",450,0,0,0,20,2.7,"Average",17
"Chacha Di Hatti","New Delhi",100,0,0,0,78,3.7,"Good",66
"Cocoberry","New Delhi",300,0,0,0,62,3.5,"Good",19
"Eating Corner","New Delhi",300,0,0,0,142,3.7,"Good",52
"El Posto","New Delhi",300,0,0,0,41,3.5,"Good",7
"McDonald's","New Delhi",500,0,1,0,122,3.6,"Good",22
"Pizza Station","New Delhi",300,0,0,0,20,3.5,"Good",56
"Puri Bakers","New Delhi",300,0,0,0,128,3.7,"Good",7
"JAIL - Behind The Bar","New Delhi",1600,1,1,0,155,4.1,"Very Good",52
"Curry Shurry","New Delhi",600,0,1,0,28,3.3,"Average",52
"Frontier","New Delhi",200,0,0,0,15,3.2,"Average",7
"Hari Om Bhojnalaya","New Delhi",400,0,0,0,21,3.2,"Average",52
"Nirmal's","New Delhi",400,0,0,0,9,2.7,"Average",17
"Sardar A Pure Meat Shop","New Delhi",150,0,0,0,13,2.8,"Average",59
"The Dragon Hucks","New Delhi",800,1,0,0,97,3.3,"Average",17
"Green Chick Chop","New Delhi",350,0,0,0,38,3.5,"Good",59
"New Arjun Bombay Pav Bhaji","New Delhi",250,0,0,0,234,3.8,"Good",66
"Madaari","New Delhi",1200,1,0,0,113,4.3,"Very Good",52
"Amritsari Express","New Delhi",400,0,0,0,33,3.4,"Average",52
"Barista","New Delhi",650,0,0,0,18,3.1,"Average",15
"Baskin Robbins","New Delhi",300,0,0,0,6,3.1,"Average",30
"Bikano's Chat Cafe","New Delhi",500,0,0,0,31,2.7,"Average",66
"Burger Singh","New Delhi",500,0,1,0,19,3.3,"Average",13
"Cafe Grub","New Delhi",300,0,0,0,13,3.2,"Average",17
"Chicago Pizza","New Delhi",800,0,0,0,48,2.9,"Average",56
"Cocoberry","New Delhi",300,0,0,0,25,3.1,"Average",19
"Dosa Plaza","New Delhi",400,0,0,0,13,3.2,"Average",63
"Karim's","New Delhi",700,0,0,0,79,3.3,"Average",52
"Kebab Xpress","New Delhi",600,0,0,0,32,3.2,"Average",52
"Keventers","New Delhi",400,0,0,0,11,3.3,"Average",9
"KFC","New Delhi",500,0,1,0,87,2.6,"Average",1
"Paranthas 21","New Delhi",350,0,0,0,28,3.3,"Average",52
"Subway","New Delhi",500,0,1,0,69,2.6,"Average",1
"Wow! Momo","New Delhi",350,0,0,0,41,3.2,"Average",71
"Berco's","New Delhi",1100,0,1,0,120,3.5,"Good",17
"Dunkin' Donuts","New Delhi",600,0,0,0,107,3.5,"Good",13
"Giani's","New Delhi",400,0,0,0,33,3.5,"Good",30
"The Beer Cafe","New Delhi",1200,1,0,0,371,3.8,"Good",23
"Basil Tree","New Delhi",1000,1,1,0,96,2.4,"Poor",52
"Chaayos","New Delhi",400,0,0,0,60,4.1,"Very Good",15
"QD's Restaurant","New Delhi",800,0,1,0,137,4.1,"Very Good",17
"Ada e Handi Restaurant","New Delhi",700,0,1,0,34,2.6,"Average",48
"Darjeeling Momos","New Delhi",250,0,0,0,22,2.9,"Average",17
"Ingredients","New Delhi",750,1,1,0,27,3.3,"Average",52
"Al Quresh","New Delhi",600,0,0,0,62,3.6,"Good",52
"Angels in my Kitchen","New Delhi",350,0,1,0,57,3.5,"Good",7
"Aapki Rasoi","New Delhi",300,0,0,0,15,3.1,"Average",52
"Bats On Delivery","New Delhi",700,0,0,0,17,3.1,"Average",52
"Bimbo Cakes","New Delhi",400,0,0,0,10,3.2,"Average",7
"Burger Bros","New Delhi",300,0,0,0,21,3.1,"Average",22
"Chinese Food Corner","New Delhi",500,0,0,0,20,2.5,"Average",17
"CL Snacks","New Delhi",150,0,0,0,7,3.1,"Average",66
"Kapoor's Sanjha Chulha","New Delhi",500,0,0,0,5,3,"Average",52
"King's","New Delhi",150,0,0,0,7,3.2,"Average",30
"Kumar Hotel","New Delhi",700,0,0,0,57,3.4,"Average",52
"Kumar Pastry Shop","New Delhi",300,0,0,0,31,3.2,"Average",7
"Midnight Adda","New Delhi",600,0,0,0,6,3,"Average",52
"Mughlaai Daawat","New Delhi",550,0,0,0,8,2.9,"Average",52
"Pindiwala","New Delhi",500,0,0,0,4,3,"Average",48
"Pipes & Hipes","New Delhi",900,1,0,0,8,3,"Average",52
"Sai Rasoi","New Delhi",500,0,0,0,9,3.1,"Average",17
"Snaxpress Tastes & Cakes","New Delhi",200,0,0,0,5,2.9,"Average",7
"Veggie Adda","New Delhi",400,0,1,0,25,3.4,"Average",52
"C L Corner","New Delhi",100,0,1,0,85,3.8,"Good",66
"Chin 10","New Delhi",500,0,0,0,53,3.5,"Good",52
"Kati Roll Cottage","New Delhi",200,0,1,0,39,3.7,"Good",22
"Kings Kulfi","New Delhi",150,0,0,0,39,3.7,"Good",30
"Paramjeet Machi Wala","New Delhi",700,0,0,0,99,3.6,"Good",61
"Rajan Corner","New Delhi",400,0,0,0,20,3.6,"Good",63
"34 Parkstreet Lane","New Delhi",200,0,0,0,4,2.9,"Average",22
"Bhikaram Bhujawala","New Delhi",100,0,0,0,5,3,"Average",46
"Chawla The Pastry Palace","New Delhi",200,0,0,0,5,2.9,"Average",7
"Food Box","New Delhi",300,0,0,0,4,3,"Average",22
"Foody Box","New Delhi",300,0,0,0,8,3.1,"Average",52
"Giani","New Delhi",300,0,0,0,9,3.1,"Average",30
"Green Chick Chop","New Delhi",350,0,0,0,14,3.1,"Average",59
"Heaven's Shawarma","New Delhi",200,0,0,0,6,3,"Average",38
"Hyderabad Spl. Chicken Biryani Point","New Delhi",350,0,0,0,4,3,"Average",48
"Keshar","New Delhi",400,0,0,0,4,3,"Average",52
"Madras Cafe","New Delhi",450,0,0,0,11,2.7,"Average",63
"Milan Chole Bhature","New Delhi",100,0,0,0,12,3.1,"Average",66
"New Laxmi Sweets","New Delhi",200,0,0,0,11,2.8,"Average",63
"Pasta Hub","New Delhi",250,0,0,0,7,3.1,"Average",22
"Patna Roll Center","New Delhi",200,0,0,0,10,3.1,"Average",22
"Refuel","New Delhi",150,0,0,0,6,3.1,"Average",9
"Saara Veg","New Delhi",400,0,0,0,4,3,"Average",52
"SGF - Spice Grill Flame","New Delhi",500,0,0,0,8,3.1,"Average",52
"Shivam Corner","New Delhi",100,0,0,0,14,3,"Average",52
"Swad Mubarak","New Delhi",200,0,0,0,11,3,"Average",52
"The Little Fork","New Delhi",700,0,1,0,5,3.1,"Average",17
"The Metro Fast Food","New Delhi",250,0,1,0,6,2.6,"Average",17
